Country,Abbreviation,delta_Lnlabor_stock,delta_Lncapital_stock,delta_RL,delta_GS,delta_RE,delta_MO,RL,GS,RE,MO
Austria,AUT,0.167693770052055,2.73660395341799,-0.00480377031441482,0.00622446026032056,-0.00126759500775428,0.00358457923227464,77.6333333333333,53.5,75.0333333333334,82
Belgium,BEL,-2.2622021732137,-2.4012432483926,-0.000554076900453819,7.61E-05,-0.00590232978102744,0.00010857685023165,71.8,45.2333333333333,71.7333333333333,80.3333333333333
Bulgaria,BGR,0.31615106780318,-1.38017334545726,-0.00105755075722532,-0.00406518197947562,-0.00107283303138501,0.00059397612916107,46.5,84.3,73.0333333333334,72
Croatia,HRV,0.0586256001070957,-2.02962386315491,0.00195498823928075,-0.00193313949794955,-0.00613713080565698,-0.0058870401419063,49.1666666666667,61.7333333333333,61.0666666666667,73.6666666666667
Cyprus,CYP,-0.118367120179022,0.805607211033269,0.00148818706419784,0.00504304404933905,0.00717298001403068,0.013055191812028,54.9666666666667,70.1333333333333,73.4666666666667,73.6666666666667
Czech Republic,CZE,-0.0768819854373513,5.06816217171219,-0.00747332388544884,-0.0020232473903435,0.00364134816131194,0.00958720213986836,58.1666666666667,77.4333333333333,77.3333333333333,82
Denmark,DNK,-0.322352710486438,-1.98007582360205,-0.00208829077344035,0.000391600766640073,-0.0035615853573887,-0.00331428548728804,83.2666666666667,51.0333333333333,87.0666666666667,85.3333333333333
Estonia,EST,0.181673102019936,0.47539056015067,0.00461799931901299,0.00375585246449375,-0.00702631111178128,0.00844757029064904,76.8666666666667,76.9333333333333,70.7,82
Finland,FIN,-1.26548325440455,8.51334871218472,-0.0119484316822439,0.00144947052721697,0.00172503090820486,0.00125556183102336,87.7666666666667,53.4666666666667,74.8333333333333,83.6666666666667
France,FRA,1.02248241839982,0.425345625554222,0.00120073449849533,-0.00119539799742954,-0.0027846634218835,-0.00320343625403688,72.1666666666667,39.0666666666667,68.5,75.3333333333333
Germany,DEU,0.796708145933583,-5.52617349783074,-0.00145490428525747,0.000123858299970714,-0.00457052857203746,0.00636545498367582,78.8666666666667,64.9666666666667,71.3333333333333,78.6666666666667
Greece,GRC,1.15002039784069,-1.06527762766249,0.00015255947749547,0.00102413380954479,-0.00419282587527349,0.00143411561353756,46.5333333333333,53.8,68.5666666666667,62
Hungary,HUN,0.486519037411785,0.587487664128178,0.00417255970668788,-0.00137437518505918,-0.00367232876672474,0.00525804950898955,47.1333333333333,65.1,69.2,78.6666666666667
Iceland,ISL,0.654692066124502,-5.90556807732729,-0.0108499143192754,0.00523804606638979,-0.0101773440436256,0.0134370732848008,78.3333333333333,71.1333333333333,78.0666666666667,80.6666666666667
Ireland,IRL,0.830274025318545,1.05942212186606,-0.0129214777794426,0.00982491573302284,-0.00972479112447422,-0.00602682138173546,77.4,80.9,81.8,82
Italy,ITA,0.261960353408214,0.0338336771200927,-0.00247740122311863,0.0024181275472703,-0.0052858431699331,0.000156523159415263,55.0666666666667,51.1333333333333,68.9333333333333,73.6666666666667
Latvia,LVA,0.194095182703467,1.58316158002303,-0.00210303092139707,0.00198724567809323,-0.000132820732540474,-0.00442032626369445,50.4,77,77.3,77
Lithuania,LTU,-0.0879114706527053,-4.84798817772501,-0.0125491614356272,0.0139783410877863,-0.00512390998755899,-0.00496364971960684,60.8666666666667,82.9333333333333,74.4666666666667,78.6666666666667
Luxembourg,LUX,1.06772171401841,-1.47850698447361,-0.0010725105760366,0.00907298848763402,-0.0140796888783325,0.00631790024936157,80.4,70.3,65.7666666666667,87
Malta,MLT,0.292533577492679,2.14592028506301,-0.00351550948112586,-0.00284142992673651,-0.00163765217055235,-0.00974804822928431,56.8333333333333,71.6,68.8666666666667,77
Netherlands,NLD,-1.10572225572953,-0.35586125262706,-0.00153183748389708,-0.00104559071429485,0.00156378437754936,0.000499087028213648,83.9333333333333,62.6,75.2333333333333,85.3333333333333
Norway,NOR,-2.59886819443144,11.639901815521,0.0137814622545966,-0.0237338340984997,-0.00818189861914461,0.0299974883125763,86.5333333333334,60,72.8333333333333,72.7333333333333
Poland,POL,-0.264561385916307,2.62823253599122,0.000252028308007918,-0.000594138346884138,0.000750312399274483,-0.00117133170294739,52.0333333333333,70.0333333333334,70.4666666666667,78.6666666666667
Portugal,PRT,1.00151146818203,-0.0960797099164869,-0.00615092283277864,0.000191864554665143,-0.00407600435985795,-0.00541559588385618,65.1,55.1,69,72
Romania,ROU,-0.141584155592933,1.58172141171266,0.000424399167112407,-0.00266798200085088,0.0112230434226846,-0.00624018312491513,52.8,82.6666666666667,70.1,68.6666666666667
Slovakia,SVK,0.150219920943698,0.885058333476687,0.00133369233781756,0.0032762080342844,-0.00811163261606728,-0.00407015408460275,47.8,70.6333333333333,64.4333333333333,77
Slovenia,SVN,0.33947470606339,3.14641154334831,0.0027265955895991,0.0016365906820194,-0.00578736821046074,-0.00677053270799354,58.8333333333333,59.7666666666667,74.7,68.6666666666667
Spain,ESP,1.31348980617305,-1.35153008956781,0.00113659951886046,-0.00369840913302632,0.00841123982826215,-0.00060205542141319,58.7333333333333,53.2,70.7,80.3333333333333
Sweden,SWE,1.68637542179505,-4.58323563347548,-0.00337000373470764,0.000709417056151844,-0.00154872948925532,0.000509423707942881,87.1666666666667,55.5,74.6333333333333,83.6666666666667
Switzerland,CHE,1.31086749535255,-0.0557652941907369,-0.0124892502714616,-0.00244307875583009,0.0105620405132823,0.00214597091753376,85.1,77.2,77.7,87.4666666666667
